Sulphides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Ag1Al1S2,4,73.4734,4.36896,11.6929,347.002,2.09697,1.8358,0.302537,6.04E-05,4,2992.49,5.04353
Ag4As4S4,6,47.2888,4.79596,37.0552,201.93,2.15647,0.1697,0.362225,7.78E-05,12,1755.33,0.708433
Ag2Er2S4,1,69.5379,6.39536,23.924,259.945,2.02123,1.4385,0.31034,5.42E-05,8,2243.65,2.5908
Ag2Ga2S4,1,56.0264,4.47841,24.2996,261.901,2.20516,1.4952,0.33126,7.32E-05,8,2400.07,1.57514
Ag2In2S4,1,49.2039,4.65882,24.6353,216.031,2.232,0.9202,0.351146,7.53E-05,8,2028.18,1.06485
Ag12Na4S8,3,44.6592,5.49082,76.3941,211.131,2.40148,1.0973,0.343252,0.00011383,24,1510.73,0.362498
Ag6P2S8,6,52.6968,4.42999,49.2215,228.124,2.21936,1.4403,0.363324,7.84E-05,16,1847.38,0.646044
Ag10S8Sb2,7,51.3384,5.92631,62.4257,205.993,2.33979,1.0621,0.350433,8.80E-05,20,1540.09,0.475357
Ag2S6Ta2,7,102.499,6.63289,29.1344,319.1,2.03909,0.0666,0.315036,4.13E-05,10,2440.88,3.51391
Ag2S6Ta2,7,102.533,6.63824,29.0895,322.943,2.04269,0.0598,0.310297,4.13E-05,10,2480.7,3.63333
Ag8S4,6,56.6246,7.20854,38.2669,172.118,2.49462,0,0.397053,0.000101496,12,1506.77,0.337552
Ag8S4,6,56.8569,7.2014,38.2022,177.999,2.50039,0,0.389566,0.000100797,12,1490.48,0.372196
Al2Hg1S4,1,61.9989,3.88235,20.3505,355.115,2.08151,2.0219,0.255004,5.72E-05,7,2622.7,4.45629
Al4Hg2S8,3,76.4028,4.51859,41.0287,328.055,2.07554,1.3021,0.316352,5.44E-05,14,2953.21,2.11564
Al4Mn2S8,3,79.3743,2.93526,39.3085,422.009,1.9555,1.7721,0.31428,4.93E-05,14,3717.7,3.13183
Al4Pb2S8,7,61.5658,3.87557,40.728,340.97,1.96182,2.6008,0.2682,5.33E-05,14,2529.45,2.89392
Al4S8Sr2,7,59.5773,2.65731,39.3849,421.941,1.95707,3.8953,0.247609,5.24E-05,14,3120.67,3.83887
Al4S8Zn2,3,85.0338,3.24523,38.2798,477.991,1.98513,2.4694,0.268497,4.81E-05,14,4152.96,4.51413
As2Co2S2,6,113.218,6.14914,16.2368,505.157,2.2212,0,0.188192,4.82E-05,6,4236.14,10.7794
As4Co4S4,2,115.76,6.28644,32.0637,527.891,2.22346,1.0895,0.167661,4.77E-05,12,4354.52,7.6791
As4Co4S4,2,115.576,6.29528,32.0389,528.861,2.22391,0.8677,0.1655,4.77E-05,12,4356.98,7.71781
As1Cu3S4,2,65.6013,4.36431,23.9705,301.869,2.18244,0,0.331177,7.18E-05,8,2666.9,1.89862
As4Cu4S4,6,64.2713,4.71803,35.8734,299.839,2.15808,0.0439,0.311277,6.80E-05,12,2648.74,1.71639
As4K12S12,2,26.2552,2.21849,86.5099,262.117,2.02977,2.5973,0.286454,0.000106471,28,2059.2,0.620319
As4Na12S12,2,36.9478,2.50986,84.2923,326.976,2.02088,2.5147,0.277933,9.82E-05,28,2368.05,0.917617
As4Ni4S4,2,106.662,5.99086,34.0818,407.875,2.18426,0,0.278039,5.15E-05,12,3310.2,3.73886
Au4S4Ta20,3,189.524,14.7364,81.4744,288.017,2.02465,0,0.324509,2.35E-05,28,2435.2,2.72587
Au2S4V2,4,104.216,7.43693,23.3277,338.064,2.21776,0,0.288796,4.88E-05,8,2787.48,3.96334
Au4S2,2,54.7061,9.20313,19.0367,90.0114,2.51431,1.9593,0.453409,7.94E-05,6,862.726,0.142596
B4S12Tb4,6,85.5959,4.53349,57.0376,375.091,1.87633,2.3148,0.290453,4.40E-05,20,2679.01,2.98739
Ba2Cr2S4,6,50.5126,4.14505,23.914,284.135,2.02434,0.3265,0.281357,6.45E-05,8,2742.69,2.64122
Ba6Cr2S10,4,50.0891,4.4722,54.159,268.948,2.06846,0,0.286116,6.61E-05,18,2338.81,1.37123
Ba1Cu2S2,1,62.0077,5.56685,15.144,280.855,2.23454,0.698,0.303024,7.59E-05,5,2509.33,2.69242
Ba4Cu8S8,6,60.5498,5.498,60.3394,292.984,2.22128,1.2427,0.283409,7.59E-05,20,2627.54,1.23115
Ba4Ge8S20,3,50.6521,3.34247,95.0875,304.922,2.13208,2.163,0.28569,6.23E-05,32,2193.79,1.0394
Ba2Hf1S4,1,60.1455,4.93292,20.7386,278.939,2.00622,0.8668,0.274707,4.85E-05,7,2727.64,3.77141
Ba4Hg4S8,6,42.6355,5.70455,49.3168,209.025,2.20472,1.1507,0.291188,7.52E-05,16,1872.76,0.91409
Ba1O4S1,3,95.6691,3.84765,16.775,434.966,2.06817,4.5103,0.303997,4.90E-05,6,2488.62,5.87666
Ba2Pd2S4,7,56.507,4.84611,24.295,233.036,2.20511,0.8817,0.339686,6.16E-05,8,1904.28,1.48968
Ba6S10Ti2,1,49.5919,3.99882,53.4351,289.119,1.98832,1.3784,0.260943,5.70E-05,18,2536.92,1.90489
Ba4S12Zr4,6,70.0654,4.22263,58.3158,319.975,1.98628,1.0187,0.292672,4.44E-05,20,3095.21,2.19048
Ba1S1,3,39.1777,4.1776,6.06312,243.107,2.10301,2.1522,0.252968,6.63E-05,2,2652.75,5.63285
Ba2S6,9,46.1253,3.74867,23.8851,299.905,2.04054,1.3724,0.257613,7.01E-05,8,2482.12,2.83248
Be1S1,3,87.9446,2.3546,4.78342,690.937,1.76302,3.1436,0.210946,4.48E-05,2,5802.3,35.0764
Be1S1,3,101.748,2.74602,4.56593,754.144,1.78859,0.9853,0.189893,4.37E-05,2,6053.42,41.9976
Bi4Ir4S4,2,122.354,12.0037,35.2918,299.981,2.38216,0.7434,0.254526,3.95E-05,12,2676.52,3.50156
Bi4Rh4S4,2,103.464,9.49405,35.4687,298.979,2.36232,0.4491,0.27033,4.61E-05,12,2696.26,2.81201
Br4Mo4S4,3,99.6781,5.33359,33.5424,423.083,2.14927,1.1228,0.222687,3.83E-05,12,2759.29,6.04888
C2Hf4S2,4,185.002,11.1388,21.7618,459.962,1.95966,0,0.211477,2.65E-05,8,3689.21,15.9407
C2Nb4S2,4,212.307,6.83503,20.8093,543.099,2.00807,0,0.285183,2.41E-05,8,4097.43,13.942
C2S2Zr4,4,169.283,6.00599,20.4057,579.073,1.98423,0,0.219476,2.62E-05,8,4756.43,17.7584
Ca3O12S3,4,112.131,2.4795,43.6306,674.113,2.08715,5.6793,0.259592,4.03E-05,18,4044.67,5.81437
Ca4S12Zr4,6,78.4928,3.35003,56.0466,415.891,1.93959,1.1903,0.272698,4.21E-05,20,3623.19,3.40849
Ca1S1,3,54.0585,2.56569,5.6097,436.099,1.93521,2.381,0.222083,5.85E-05,2,4269.91,14.7572
Cd2Cr4S8,3,74.3277,4.05931,41.0432,332.011,2.10598,1.0666,0.325823,5.63E-05,14,3010.23,1.91918
Cd2Dy4S8,3,64.6657,5.22321,41.8537,242.053,1.94433,1.1225,0.337603,4.79E-05,14,2295.46,1.57065
Cd2Er4S8,3,65.9381,5.41332,41.83,244.009,1.93162,1.1836,0.335542,4.77E-05,14,2290.07,1.64969
Cd2Ho4S8,3,65.2956,5.31693,41.8517,241.91,1.94148,1.153,0.337408,4.79E-05,14,2286.8,1.58386
Cd2In4S8,3,63.362,4.71556,42.2673,256.066,2.21366,1.1997,0.343494,6.14E-05,14,2413.28,1.13508
Cd2Lu4S8,3,65.9351,5.6935,41.714,250.053,1.86302,1.2837,0.321675,4.75E-05,14,2304.72,1.94935
Cd2S8Sc4,3,69.3602,3.38525,40.9046,318.942,1.93284,1.2756,0.340551,4.81E-05,14,2967.19,2.05915
Cd2S8Y4,3,63.7263,3.85337,41.4164,280.013,1.94406,1.1465,0.336996,4.80E-05,14,2671.83,1.80276
Cd1S1,3,49.8793,4.63871,6.13299,206.899,2.13709,1.1886,0.363979,6.92E-05,2,2079.63,2.63546
Cd1S1,3,67.4387,5.83086,6.00981,282.884,2.22838,0.4119,0.300976,6.56E-05,2,2662.27,5.70308
Cd2S2,4,49.7682,4.63641,12.2531,210.898,2.13572,1.2626,0.358318,6.91E-05,4,2118.13,1.7601
Co4Cu2S8,3,101.091,4.79186,40.3652,371.928,2.10911,0,0.339097,5.35E-05,14,3072.27,2.20631
Co2In4S8,3,68.6774,4.50847,41.5956,297.96,2.14715,1.3128,0.322288,5.81E-05,14,2715.57,1.65282
Co2Ni4S8,3,67.4524,4.21069,42.1213,267.11,2.01838,0,0.372436,6.98E-05,14,2469.31,0.912407
Co2Rh4S8,3,107.743,5.1923,40.1935,370.01,2.18601,0.9024,0.322056,4.43E-05,14,3067.08,2.68662
Co4S4Sb4,2,99.3154,7.0335,33.7879,430.18,2.25033,0.6494,0.184402,5.18E-05,12,3672.87,5.42072
Co2S6Ta9,4,166.64,10.4091,48.9927,321.026,1.99866,0,0.324226,2.61E-05,17,2409.8,3.81112
Co6S8,3,85.211,4.49826,40.3833,415.823,2.41504,0.4234,0.286273,7.05E-05,14,3539.62,2.30412
Cr4Cu2S8,3,80.7039,3.92648,40.7895,354.939,2.12248,0,0.335252,5.87E-05,14,3059.99,1.90054
Cr4Hg2S8,3,72.9984,5.05275,41.6205,299.076,2.14649,0.4267,0.321917,5.90E-05,14,2701.6,1.69273
Cr4La4S12,6,83.1852,4.65669,57.1027,383.129,2.03712,0.2562,0.265666,4.68E-05,20,3421.34,2.92377
Cr4S8Zn2,3,82.0616,3.84545,39.6971,410.086,2.06585,1.1686,0.288547,5.30E-05,14,3589.59,3.15726
Cs2Gd2S4,4,44.7999,4.86807,24.0358,253.035,1.96547,2.0817,0.247814,6.00E-05,8,2423.24,2.94447
Cs2Na2S2,9,18.7971,3.37169,19.5625,189.201,2.09417,2.4474,0.273221,0.000160958,6,2004.06,0.927923
Cs2S4Tb2,4,46.4492,4.98194,24.0196,254.963,1.97942,2.2114,0.250135,5.93E-05,8,2434.69,2.96457
Cu2Ga2S4,1,69.1263,4.28074,23.5818,347.139,2.24791,1.122,0.295068,6.80E-05,8,3138.21,2.72807
Cu2Ir4S8,3,130.764,7.82778,40.8576,318.929,2.26761,0,0.337571,3.98E-05,14,2464.84,2.30535
Cu4K4S4,6,28.0928,2.4976,37.8156,205.153,2.14643,2.2557,0.361829,0.000109908,12,1624.45,0.5004
Cu3Nb1S4,2,74.4769,3.97107,22.6601,408.939,2.09342,1.8962,0.239122,5.05E-05,8,2616.86,5.6388
Cu6P2S8,6,73.6736,4.09264,46.9841,363.068,2.29018,1.3773,0.306396,7.00E-05,16,3089.05,1.63022
Cu2S4Tl2,1,50.7709,5.98778,24.8425,219.931,2.33882,0,0.323511,8.52E-05,8,2098.93,1.13821
Cu3S4V1,2,72.9998,3.81767,22.7543,407.993,2.11321,1.2808,0.255936,5.53E-05,8,2667.38,4.83634
Cu2S8Zr4,3,94.3977,4.33089,40.4712,339.988,2.01922,0,0.341974,4.13E-05,14,2877.3,2.46149
Cu4S8,2,79.424,4.29359,34.9856,369.007,2.17928,0,0.314737,6.60E-05,12,2967.97,2.19457
Cu2S1,3,81.2723,6.15306,9.21341,258.942,2.34933,0,0.382253,8.31E-05,3,2199.19,1.94602
Dy8O4S8,6,97.0595,6.68816,58.187,316.997,1.94632,2.1691,0.300653,3.98E-05,20,2562.05,2.56402
Dy2S4,9,88.7059,6.34569,17.4299,325.982,1.91022,0,0.285243,4.35E-05,6,2975.08,6.01284
Dy1S1,3,94.1686,7.67931,5.89232,285.94,2.03493,0,0.304088,4.18E-05,2,2626.32,9.67909
Dy8S12,6,84.5046,6.47979,58.5639,299.014,1.89512,0.7331,0.294197,4.18E-05,20,2684,2.42768
Er2Pd6S8,2,98.0397,6.81851,48.1013,236.904,2.18475,0,0.389357,4.90E-05,16,2082.48,0.896527
Er8S12,6,86.5033,6.78682,58.2441,313.966,1.88231,0.6284,0.273446,4.13E-05,20,2776.95,2.89489
